"","recid","earnings","D","male","hsorged","black","hispanic","married","wkless13","afdc","age2225","age2629","age3035","age3644","age4554","class_tr","ojt_jsa","f2sms","age","bfeduca","bfyrearn","bfwage","bfhrswrk"
"1",300001,1353,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,"46",12,0,325,40
"2",300002,4984,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"24",11,3591,550,38
"3",300006,27707,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,"34",12,0,0,0
"4",300008,31860,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"31",10,9476,515,40
"5",300010,26615,0,0,0,0,0,0.2111608,0,0,1,0,0,0,0,0,1,0,"22",9,9600,335,35
"6",300012,48541,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,"22",12,200,335,25
"8",300014,8385,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,"41",12,0,0,0
"9",300015,4036,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"24",12,10339,525,40
"10",300016,16419,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,"26",12,5000,400,40
"11",300019,22221,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,"27",12,150,500,6
"13",300025,19541,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,"49",12,0,0,0
"14",300026,25766,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"40",12,1569,400,23
"15",300027,9879,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,"23",12,11400,550,40
"16",300028,25199,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,"34",13,5000,500,25
"18",300030,24765,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"22",17,3412,335,27
"22",300035,33390,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"29",12,7751,404,37
"23",300037,12537,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"26",11,600,359,32
"24",300039,48254,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"28",12,6634,657,40
"25",300040,23686,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,"33",10,0,350,40
"29",300048,10112,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"33",12,500,450,13
"30",300052,33570,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"29",12,8460,400,40
"31",300054,12301,0,1,0,0,0,0,0.4073359,0,1,0,0,0,0,0,1,0,"23",9,2500,350,28
"32",300055,27676,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,"26",12,8020,490,40
